crit-Shield	0	0.5478261674436488	0.32909092181740696	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	1	0.6459327329205107	0.34066771269927354	-50.0	77.05203	-0.2	85.433867	-50.0	85.433867
crit-Shield	0	0.18390760968269287	0.364836402235503	0.0	50.0	20.0	0.0	20.0	50.0
outerWall	1	0.09813068381305792	0.8859994069113702	-50.0	77.05203	-0.2	85.433867	-50.0	85.433867
Floor	0	0.5002061756816841	0.017096450295149307	-52.556504	16.211535	52.556504	16.211535	-49.553288	23.863606
crit-Shield	1	0.5139622006707333	0.27514408372958415	0.0	0.0	20.0	0.0	0.0	50.0
Floor	0	0.49465117593285624	0.35068594585547574	-54.385695	8.197325	54.385695	8.197325	-52.556504	16.211535
crit-Shield	1	0.5169404317239445	0.4530682697368976	0.0	0.0	20.0	0.0	0.0	50.0
Floor	0	0.4995911521780471	0.0649603622487335	-54.385695	8.197325	54.385695	8.197325	-52.556504	16.211535
crit-Shield	1	0.4037632743595977	0.12288939909314801	0.0	50.0	20.0	0.0	20.0	50.0
crit-Shield	0	0.5014784265157929	0.4550717894769753	0.0	0.0	20.0	0.0	0.0	50.0
Floor	0	0.4956700058471612	0.17340269577258133	-54.385695	8.197325	54.385695	8.197325	-52.556504	16.211535
crit-Shield	1	0.44986940178950713	0.5338468347545523	0.0	0.0	20.0	0.0	0.0	50.0
crit-Shield	0	0.44846277815435187	0.43016644998082104	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	1	0.02338860210762807	0.46779862166981057	-0.2	87.353729	-0.2	95.735566	-50.0	87.353729
crit-Shield	0	0.2844267404362454	0.18602205533730143	0.0	50.0	20.0	0.0	20.0	50.0
Floor	0	0.06201109430829158	0.4392233014476203	-49.553288	23.863606	52.556504	16.211535	49.553288	23.863606
crit-Shield	1	0.5412277492731917	0.16452983442299687	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	0	0.7941340335069486	0.06128714519752511	50.0	-98.566351	0.2	-106.576964	50.0	-106.576964
crit-Shield	1	0.5525549232494226	0.09020774502508355	0.0	50.0	20.0	0.0	20.0	50.0
