crit-Shield	0	0.39510175417250015	0.08969055792930405	0.0	50.0	20.0	0.0	20.0	50.0
crit-Shield	0	0.5006124668805043	0.03822371576988825	0.0	50.0	20.0	0.0	20.0	50.0
outerWall	1	0.43515973778003714	0.16626932775480055	0.0	50.0	5.0	0.2	5.0	50.0
crit-Shield	0	0.21723587695776037	0.32198408606849754	0.0	50.0	20.0	0.0	20.0	50.0
outerWall	1	0.10605580561354368	0.43559531563492493	0.0	50.0	5.0	0.2	5.0	50.0
Floor	0	0.25538435846184515	0.23837615273509627	-45.443133	30.982603	49.553288	23.863606	45.443133	30.982603
crit-Shield	1	0.5517093893602208	0.11372940912599815	0.0	0.0	20.0	0.0	0.0	50.0
crit-Shield	0	0.45584990244051987	0.2027631386609182	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	1	0.0035068743944286565	0.21196084711501764	-0.2	87.353729	-0.2	95.735566	-50.0	87.353729
crit-Shield	0	0.47541523244488243	0.2077097773409179	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	1	0.601093318138143	0.07079834871707497	50.0	-74.534509	0.2	-82.545123	50.0	-82.545123
crit-Shield	0	0.22522460282678128	0.2922089202992704	0.0	50.0	20.0	0.0	20.0	50.0
Floor	0	0.06936513187816562	0.42952290381921154	-54.385695	8.197325	55.0	0.0	54.385695	8.197325
crit-Shield	1	0.3054980614214113	0.16241160093330653	0.0	50.0	20.0	0.0	20.0	50.0
outerWall	0	0.4981994018479438	0.15818818901454965	50.0	-82.545123	0.2	-82.545123	0.2	-90.555737
crit-Shield	1	0.09973411158167574	0.4454363866069352	0.0	50.0	20.0	0.0	20.0	50.0
crit-Shield	0	0.4532467000963987	0.04892345657007553	0.0	0.0	20.0	0.0	0.0	50.0
outerWall	1	0.0105121318935903	0.03893644423898393	-0.2	87.353729	-0.2	95.735566	-50.0	87.353729
Floor	0	0.29343923308281766	0.2047640730102355	-54.385695	8.197325	55.0	0.0	54.385695	8.197325
crit-Shield	1	0.056071935270013036	0.43574432776435984	0.0	50.0	20.0	0.0	20.0	50.0
Floor	0	0.4556704629187746	0.03599596224275465	-52.556504	16.211535	54.385695	8.197325	52.556504	16.211535
crit-Shield	1	0.4894357591906365	0.3857185758548201	0.0	0.0	20.0	0.0	0.0	50.0
